signature,num_vertices,diameter (qtm),example antipodes (qtm),radius (qtm),example center (qtm),diameter (htm),example antipodes (htm),radius (htm),example center (htm)
0x10001080200421,11766,28,0x41100401220 => 0x44110001022,16,0xdc00000042,21,0x1880021102 => 0x54010004208,12,0x400c0200380
0x39A00000420,7618,30,0x51800101110 => 0x194000101440,16,0x79800000840,21,0x198040001208 => 0x210202040206,12,0x29e00000300
0x10040080800421,7593,27,0x418000810c0 => 0x190040001088,15,0x79800000040,20,0x70010004208 => 0x1a0000260020,11,0x1ca00000018
0x2DA00000C00,2526,31,0x228200104440 => 0xa80006604,18,0xa10124401,26,0x48840800c10 => 0x8840800603,14,0x8e000c0011
0x38000000C1C,9257,39,0x228000244204 => 0x1a00003890,22,0xca00000423,29,0x41880001290 => 0x1a00003890,17,0x408001e4004
0x2DA00000400,2186,23,0x48040800890 => 0x50800102090,12,0x180000580014,17,0x48040800890 => 0x40840800881,10,0x60002800411
0x10840084238C21,8703,51,0x21884401e620 => 0x213c41005608,26,0x300085b24184,38,0x20c905a00630 => 0x21f40100488c,21,0x30010103fc08
0x10040080200C01,2036,23,0x60000820c02 => 0x48840008210,13,0x20016d000,18,0x48840800003 => 0x8840800203,10,0x200200145008
0x10840084238421,8002,32,0x2074010c5208 => 0x20031b40060c,17,0x23f601000042,22,0x213403040306 => 0x888107a00608,13,0x300084338421
0x20008100000846,7755,28,0x54000101090 => 0x40900800602,16,0x58000104021,21,0x48900021080 => 0x40900800206,12,0xe00148002
0x100C0080000421,7697,27,0x8800061102 => 0x44000040314,16,0x200127400,21,0x1800006604 => 0x48840080003,12,0xa80124400
0x2800C1C,7175,28,0x1a80021080 => 0x50040800094,16,0x8f00004020,20,0x60012101008 => 0x50800820084,12,0x48000268001
0x3DE00000401,1776,26,0x194000509402 => 0x79800022880,14,0x1de00000282,21,0x20da00100111 => 0x194000509402,11,0x1de00000282
0x10040080200401,1730,19,0x40840800801 => 0x48040800801,11,0x48002800401,14,0x45000100090 => 0x48040800801,9,0x44000940004
0x10000080800423,4465,24,0x1900005220 => 0x5080010c008,15,0x480020c0030,17,0x1880001310 => 0x48000461100,11,0x240003380
0x10000080200421,6616,23,0x44100800204 => 0x41080020082,13,0x40102009010,19,0x44100800204 => 0x41080020082,10,0xec0000400
0x39E00000401,6529,31,0x228200084221 => 0x510410004604,18,0x6d800200081,24,0x49900020882 => 0x48100421882,13,0x180080906404
0x807084200631,6487,41,0x20fc01084220 => 0x202713000231,23,0x2090201f6100,31,0x202713000c18 => 0x20c10401ec20,18,0x20ec018c000c
0x800084220421,3197,23,0x47080500100 => 0x46110400440,13,0x7680000018,17,0x47080500100 => 0x34c0004820,10,0x7680000420
0x10800084238421,6290,30,0x20031b40020c => 0x20031b400608,16,0x20008bc0041c,20,0x20116844020c => 0x20e401884220,12,0x20008bc00846
0x3800000001C,6201,23,0x1900001600 => 0x40900800204,13,0x58040000201,17,0x602040202 => 0x40910000204,10,0x40010106080
0x39E00000421,5994,33,0x55800141110 => 0x194000501442,17,0x59800200621,23,0x215a00040206 => 0x190000067820,13,0x79000200431
0x1084008020043D,5942,30,0x4c70020c201 => 0x54010303091,17,0x400003ef001,22,0x61e80220082 => 0x1a1280c20804,13,0x32480080042d
0x39E00000C01,5919,47,0x1a400010d440 => 0x59800024881,27,0x7d800000c01,38,0x8a8002001c30 => 0xce00080286,20,0x2de00000284
0x20001300000018,3938,22,0x1900001220 => 0x70010004008,12,0xce00000008,17,0x1900001220 => 0x602040102,10,0x441000000c2
0x21088100400C46,1473,44,0xdb00003890 => 0x8b8000003c30,25,0x20da0014001c,34,0x33080024420c => 0xd9000027880,19,0xd800032c401
0x10840084218C21,11257,47,0x40851093218 => 0x1a80208f2100,25,0x600303b0181,33,0x64011193018 => 0x21f401004884,19,0x608083f8040
0x2DA00000401,1406,25,0x61800060804 => 0x18c000108402,14,0x64010005280,18,0x49800020882 => 0x188040800881,10,0xda00000601
0x39E00000C21,5532,53,0x4c900049818 => 0x5c8003040c1,30,0x2de00000c21,39,0x5c8003040c1 => 0x334800009c02,22,0x239a0000028c
0x138000800846,3680,29,0x19c000101440 => 0x51800141110,17,0x79000000431,21,0x51800141110 => 0x18c000501440,12,0xce00000382
0x1084008020042D,5456,28,0x4470020c201 => 0x45100406602,16,0x180000ca6006,20,0x4470020c201 => 0x60612280201,12,0x51640200601
0x10847084200631,5458,66,0x897204441222 => 0x205a8101660c,34,0x30ac019a400c,47,0x8b800107e808 => 0x205a8101660c,25,0x32ec0198000c
0x29E00100421,3571,48,0x19c000044304 => 0x4c900041818,26,0x69000304421,37,0x229800002614 => 0x48900840846,20,0xf800000d840
0x10840084338421,5322,32,0x8ac20409a220 => 0x8802f4400831,17,0x23fe0100000c,22,0x218a4101a418 => 0x71a441009808,13,0x30008413f420
0x108400842E0421,10563,33,0x4e70020c101 => 0x57000303111,19,0x3000043a402d,23,0x4e70020c101 => 0x57000303111,14,0x6768020040c
0x2DA00000C01,1315,39,0x8a40009602 => 0x69800060804,21,0x6d800040201,29,0xc8040009602 => 0x69800060804,15,0x2da00001880
0x800084220C21,2607,27,0xd3040240040 => 0x46110400218,16,0x1fc00004020,19,0x63082102100 => 0x2712000103,12,0x3e000a4008
0x38A00000C00,2617,28,0xa00003890 => 0x60000001298,16,0x58000045200,22,0x8800002894 => 0x60000001298,13,0x6c000040201
0x3F6000005A0,2612,27,0x17400045b40 => 0xe40088422d,15,0x1fe0000005a,20,0xe30040845a => 0x471004015a2,12,0x1fe0000002d
0x10840084038423,10397,44,0x20ee01084220 => 0x198005a20c20,26,0xc0005ba400c,34,0x208904078821 => 0x20c905a00086,20,0x30001119608c
0x10840084218421,10057,34,0x1a0084238820 => 0x618080b20c0,18,0x21f601000280,22,0x21ac41008410 => 0x618080b20c0,13,0x400031db008
0x700002800C3D,4971,50,0x1a1282902014 => 0x22980006082d,28,0x480023cb011,39,0x300900200bc6 => 0x32088030005e,22,0x7de00200084
0x50008280043D,9842,33,0x449008007a2 => 0x5180006082d,18,0x1b0000c00b42,24,0x58040800bc1 => 0x501280c00898,14,0x7c00020003d
0x10840080200C61,4919,44,0x65080520081 => 0x61080620083,23,0x40100668803,32,0x55800320084 => 0x65080520081,17,0x40100668803
0x10079080200421,9680,33,0x51800303111 => 0x195200844104,18,0x400823c0431,23,0x894200004bc0 => 0x19804080920c,14,0x79e00200840
0x20088100000846,4773,29,0x688000810c0 => 0x68800022880,17,0x28e00000031,21,0x68800022880 => 0x688000800c2,13,0x28e00000181
0x10840080200C2D,4684,36,0x44f0020c201 => 0x61602380090,20,0x209202164018,28,0x54810203c01 => 0x45080203291,16,0x1e801e4400
0x10840086200C2D,9361,51,0x301ac18008c4 => 0x7600030b111,29,0x4f6003c0021,40,0x76e10204208 => 0x19ac40448208,22,0x239203025018
0x100400F4200421,9359,31,0x20e4010810c2 => 0x20031b400604,17,0x23bc0100000c,22,0x20031b400602 => 0x22b401084220,13,0x40007bc0030
0x108400843E0421,9355,34,0x57000343111 => 0x1bac00428102,18,0x3000843e4421,25,0x53840243111 => 0x63080427182,14,0x5b040320621
0x200C8100000846,4681,48,0x48900041818 => 0x19c000044204,25,0x29e00000284,36,0x71800001290 => 0x1a0080904401,19,0x29e00000094
0x3FE000005A0,2301,28,0x51245000185a => 0x51245000045e,16,0x1b6000c00b42,21,0x638802205a2 => 0xc084441a5220,11,0x1fe00000b42
0x10840080200461,4559,38,0x70010620402 => 0x20d800120101,21,0x4104008f200,28,0x59040600204 => 0x70010620402,16,0x4d0002a4001
0x10800080200021,1165,16,0x402880280 => 0x5080400090,9,0xc500800002,12,0x412080204 => 0x41080420800,7,0x15600000002
0x10059080200421,9015,30,0x198c00421100 => 0xc400909444,17,0x44e80200421,21,0x51040121222 => 0x612048382,13,0x4005004b380
0x250008280043D,8969,68,0x188c40c00630 => 0x19c000046b40,35,0xc1ca02001620,55,0x18810026082d => 0xb6480000ac10,28,0xc000036f101
0x50008280003D,8958,31,0x500408008da => 0x5100006082d,17,0x5c0002005a1,23,0x6108002082d => 0x441008007a2,13,0x6001e002d
0x10079080300421,8863,60,0x198c00560102 => 0x7080030b111,34,0x71c802800403,47,0x890240168203 => 0x31080020b611,27,0x78600320421
0x3FE00000421,2223,29,0x196000509442 => 0x57800143110,16,0x5f8002008c1,22,0x57800143110 => 0x18e100409442,12,0xff0000081c
0x21101308C00C42,2135,50,0xec0088422d => 0x57800244b40,27,0xe4009c003d,37,0xd2050200b46 => 0x5b040400bc4,20,0x17e000000de
0x29A00000400,2085,18,0x68000020082 => 0x188040000801,10,0x40000065800,14,0x188040000801 => 0x48800900004,8,0x40000143010
0x100D9080200421,8317,45,0x208840200bc4 => 0x40f10200c44,24,0x2021ed018,35,0x210200426886 => 0x19120082088c,19,0x480003e3021
0x250008280003D,8211,44,0xd40004482d => 0xd2005015a0,26,0x2c0127620,33,0x511200d000c4 => 0x441008007a3,20,0x1e0002442d
0x10840084218631,8184,58,0x1ac0208d6100 => 0x5a8101660c,33,0x22920113600c,44,0x20c80181289c => 0x5a8101660c,25,0xe301b0183
0x1004008020043D,4069,29,0x6100006082d => 0x61600260804,16,0x8f00000bc0,22,0x200200546106 => 0x48040800bc1,12,0x58040324201
0x10840084138423,8117,63,0x1b0005a20c0c => 0x897204041222,34,0x332c01800c0c,50,0x897204041222 => 0x324085b00406,26,0xc0005be400c
0x100400803C0421,8110,29,0x1a5200840022 => 0x50810303011,16,0x78e00200021,22,0x50e00260804 => 0x50810303011,13,0x49040324201
0x700083800C3D,7952,68,0xc106440008de => 0x7600034b111,37,0x7f600200303,52,0x7600034b111 => 0x8b42041065a0,28,0x7f600200303
0x3FE00000C21,1963,60,0x5f8003040c1 => 0x1a608010f440,33,0x1fe00000386,44,0x21da00012614 => 0x5f8003040c1,25,0x1fe00000386
0x10840084318421,7804,35,0x1a0084238822 => 0x698080b20c0,18,0x300085b04421,24,0x8c60890382 => 0x217601100091,14,0x400081ff040
0x1080200421,3902,19,0x41080020102 => 0x50010020022,11,0xd400000440,16,0x702040100 => 0x50010020022,9,0xd400000042
0x100400F4200621,7600,32,0x888107a00602 => 0x8802f4400811,18,0x1b000b409042,22,0x640b4400831 => 0x31084101241c,13,0x23be01000018
0x500002800C3D,3789,41,0x48840800bc4 => 0xd20004482d,23,0xe8000063d,33,0xd800001c5a => 0x48840800c5a,19,0x6d600200c01
0x700000800C3D,7472,49,0x40850049298 => 0x4491004c281,27,0x481003c0831,39,0x4491004c281 => 0x50840849214,22,0x30da00804804
0x3FE0010002D,1849,59,0x898006027c30 => 0x77800244b40,32,0x338006127030,46,0x5b040400c5e => 0x186110400c3d,25,0x1be000c4005a
0x10800080200023,920,20,0x18c0006004 => 0x44110002c00,11,0xd4000c0001,14,0x5000280290 => 0x712000003,8,0x1c80024004
0x18001004008C6,3669,36,0x580408c2010 => 0xc1080620082,18,0x640003a8001,26,0x5300409410 => 0xd500009210,13,0x6001af000
0x10041080200C61,7293,50,0x5c800063100 => 0x7c000980041,27,0x5e00000c61,40,0x20c900220c04 => 0x209900009218,20,0x650007380
0x840180200421,3608,33,0x41100620082 => 0x41080620082,18,0x440003a8001,23,0x14c0009202 => 0x51040600204,13,0x1e000a2004
0x800084218631,7215,41,0x6802219a100 => 0x518080360c0,21,0x400111b208c,27,0x203cc1000c10 => 0x20830b440030,15,0x600043b8021
0x10840080800463,7170,48,0x45800320184 => 0x6d000260808,27,0xda000a400c,37,0x5d000061102 => 0x5a80120184,20,0x580023c0021
0x10040080000403,1747,18,0x60000006084 => 0xc200044004,11,0x40080000c14,14,0x48000002290 => 0x60080100082,9,0x20010d400
0x39A000005A0,6871,30,0x6100044003d => 0x409008007a2,17,0x64e00200421,22,0x50840160222 => 0x40900800b46,13,0x69e00200041
0x39A000045A0,6805,47,0x48900800b43 => 0x890240121282,28,0x5c80004003d,39,0x20c300180886 => 0x489008007b0,22,0x69600300181
0x29A00000C01,1699,35,0x68000004c44 => 0x8a00003890,20,0x68800240011,27,0x48800002c14 => 0x8a00003890,16,0x68000200283
0x10800084218421,6770,32,0x418080b20c0 => 0x45020192110,16,0x19f6008,21,0x200378000222 => 0x4c104418420,12,0x400301b2180
0x10840080000463,6586,46,0x55800120084 => 0x50042800894,24,0x5a00009818,34,0x45800120184 => 0x50042800883,18,0x580002e4001
0x108400B4000423,3288,38,0x5201013898 => 0x588080360c0,21,0x4000103fc08,29,0x64011113018 => 0x322403108402,15,0x6c00105b008
0x29A00000401,1631,24,0x48800021880 => 0x50800101090,13,0x58800000601,18,0x48800020882 => 0x188040000811,10,0xca00000282
0x100408C42,3241,23,0x5280101100 => 0x44010080218,14,0xd400000184,17,0x40850084008 => 0x70010500020,10,0xd400000043
0x10040080200C61,3232,40,0x6180002018c => 0x48040800863,21,0xda0000018c,30,0x9c40003c00 => 0x49002140061,15,0x9e40006200
0x10840084018423,12647,42,0x6008b4000c3 => 0x6802019a110,25,0x1a00089b0042,31,0x188005a60808 => 0x1a0085b04008,18,0xe201d9100
0x8580062C0021,6293,46,0x5f000260808 => 0x7e80021102,25,0xdf0006000c0,32,0x5f000461100 => 0x4f100640102,18,0x20da010a4008
0x10800084038423,6249,39,0x440b4400c30 => 0x2f4400c30,21,0x2026031c1008,28,0x188105a60008 => 0x440b4400311,16,0x40085b2008c
0x2800C14,793,17,0x680101002 => 0x41000020c02,11,0x24004d000,13,0x8800280003 => 0x41000020c02,8,0x29c02
0x1003DE80000401,3083,30,0x188c40489202 => 0x194000d09406,17,0x180000de6006,24,0x188c40c80282 => 0x18c100c09406,13,0x1bd200c00082
0x100000F4200421,6086,27,0x20108b400881 => 0x20031b400402,16,0x44885a00420,19,0x20882019a100 => 0x6b6000222,12,0x2082011b2008
0x3F400000C60,1530,47,0x3ac0002c60 => 0xc30c0204061,25,0xf500000863,29,0x21025108408c => 0x430c040019c,17,0x7280400463
0x100400802C0421,6058,26,0x50600260804 => 0x8840889006,15,0x58640200201,19,0x418c0120202 => 0x50840809014,11,0x40e003c0020
0x10000080000C21,3048,18,0x48040040022 => 0x60010100022,11,0xc200000023,16,0x48040040022 => 0x60010100022,10,0x1e00000c00
0x39E00000060,5928,46,0x59002180041 => 0x540008c4220,24,0xde00000308,36,0x45080100198 => 0x59002180041,18,0x4018280041c
0x1004008020042D,2941,25,0x200200546102 => 0x480408000da,14,0x400403e4200,20,0x200240160302 => 0x200200546102,11,0x58040320201
0x21080380401842,2950,53,0x7c00008b210 => 0x1a0012982090,30,0x5d800224404,41,0x15e00048203 => 0x5d800320084,23,0x1de00003280
0x20080180C00802,5886,43,0x44180401600 => 0x50042800890,22,0xda00008300,30,0x50042800881 => 0x1442040206,16,0x49040208201
0x376000005A0,1468,25,0x471004015a0 => 0x34020810da,14,0x530402005a1,18,0x74000810da => 0x560105005a0,11,0x430822005a1
0x108000842E0421,5835,28,0x192c50401008 => 0x4670020c101,16,0x77e00200020,21,0x43e80220102 => 0x192c50401008,12,0x57600200421
0x100400F4200C01,2917,34,0x4810bc00203 => 0xc1168006600,19,0x312c0110400c,26,0x1968204601 => 0x8d68800083,15,0x78007a00c00
0x10040084218631,2920,49,0x198008230c41 => 0x198008430c41,27,0x480043dc021,37,0x4c801812c18 => 0x64011113098,20,0x480201fc101
0x10041080208401,2941,37,0x49002100061 => 0x60012000462,19,0xda00000308,27,0x49002100061 => 0x49040600204,14,0x64010600081
0x10041180200421,5796,44,0x44180401620 => 0x54800920104,25,0x70010600380,33,0x45800320088 => 0x54800920104,18,0x560012400c
0x100400B4200631,11589,58,0x1a0005a20c0c => 0x40841093298,31,0x23b601000214,47,0x40841093298 => 0x1a0005a20c0c,25,0xc0005b6400c
0x10040084218421,2867,28,0x480082b00c2 => 0x488080b20c0,14,0x6800381200c,20,0x488080b20c0 => 0x480082b00c2,11,0x1800085f0040
0x21080100440862,2842,43,0x1a0080628802 => 0x45180401602,22,0x1e001e8001,31,0x209202100462 => 0x324800840061,16,0x75800208011
0x10000080200401,710,13,0x40040800804 => 0x212000402,8,0x400002c0200,11,0x212000402 => 0x12101002,7,0x480004280
0x23A401000C1C,2836,43,0x6008bc00883 => 0x8a8006019c20,25,0x640b4200611,35,0x22ae010810c0 => 0x70007b00091,20,0xf8007a00404
0x840184220421,5639,41,0x72010620022 => 0x200313000462,22,0x5f000220021,30,0x72010620022 => 0x200313000462,16,0x5f000220021
0x3F600000060,1406,40,0x215201084220 => 0x430c0400198,21,0x76810200060,27,0x53002300460 => 0x430c0400198,14,0x57800200061
0x10840186200421,5641,45,0x211203048302 => 0x47180401620,25,0x7f000220180,32,0x211203048302 => 0x56010421422,19,0x7f800280040
0x3FE00000060,1422,42,0x314804320104 => 0x21c804320104,22,0x1be000c00108,32,0xf500001862 => 0x47080300198,16,0x2180011ad008
0x108400800005A3,5569,34,0x700185888 => 0x4c1001c2804,20,0x74600240003,27,0x185200880094 => 0x48702200203,15,0x6801e0403
0x100400B4200421,10933,31,0x418080b10c0 => 0x1a0004278020,17,0x40008378041,22,0x41820192110 => 0x418080b10c0,13,0x400041f8021
0x108400800C0423,2721,32,0x321200904440 => 0x48602248810,19,0x64010303081,24,0x49600220c02 => 0x200a800c0630,14,0xac0126600
0x10040000000421,1360,15,0x40800100104 => 0x40900000204,9,0xa80000081,12,0x40800100104 => 0x40900000204,7,0x40000064001
0x10040084318421,2692,32,0x488080b30c0 => 0x688080b20c0,16,0x18000117b008,22,0x480084b10c2 => 0x680084b10c0,12,0x22f601000802
0x1003DA80000401,2666,29,0x1a001200062d => 0x6180006082d,16,0x1800809e4404,23,0x50840008422d => 0x1a001200045e,12,0x780002007a1
0x182800C1C,5324,43,0xc10c0004061 => 0x54000900063,23,0xd600000063,30,0x9c40042030 => 0xc10c000011c,16,0xd60000018c
0x100400B4200621,10559,33,0x618080b10c0 => 0x8802f4000811,18,0x400203f4101,23,0x498080b00c2 => 0x212603040206,14,0x326c0100040c
0x10800080800463,5245,43,0x5200448310 => 0x5a80021102,24,0x580402c4020,31,0x5a80021102 => 0x5200448310,18,0x580022c0021
0x10000080000421,2634,15,0x40100004104 => 0x40040002804,9,0x67000,13,0x40000408410 => 0x44100000204,8,0x600140020
0x10040080800463,5218,40,0x4980008d040 => 0xc600046104,23,0xe9000600300,30,0x58042041110 => 0x8c40003c20,17,0x64000123180
0x108400842F8421,5191,32,0x20031b40062d => 0x218045a008da,17,0x300083936418,22,0x20031b40062d => 0x20128b4005b1,13,0x300088c36446
0x100F208000842,2601,24,0x44905a00204 => 0x440b4400811,14,0x23a601000018,18,0x6b6000406 => 0x2f4400811,10,0x400f4006600
0x10039E80000401,5150,31,0x194000909406 => 0x19400090d404,18,0x7ce00200201,25,0x48900223881 => 0x188c40481202,14,0x7c000207401
0x800084238421,2601,22,0x201168440104 => 0x200270490104,13,0x200085b24020,15,0x2024c1800830 => 0x2010604d0104,10,0x203603180008
0x10101280800421,5163,26,0x1840000800da => 0x60600260808,16,0x20218005e,19,0x19000015a2 => 0x449000015a0,12,0x6ce00200020
0x23A40100041C,2566,26,0x22a601084220 => 0x640b4400811,15,0x18000bd80006,19,0x22a601084220 => 0x600b6200406,11,0x400f4204601
0x100400803C0401,1265,20,0x1840121602 => 0x60600284204,11,0x58e00200011,15,0x180c80400890 => 0x188c00480280,9,0x40e002c0201
0x1003DA80000421,5052,32,0x61e0026080c => 0x6180026082d,18,0x6de00200301,24,0x3208100c90c2 => 0x50844008422d,13,0x7c80020042d
0x10101280800C21,5050,36,0xc2005015a0 => 0x50c802042820,21,0x49600200311,28,0x4804040023d => 0x50c802042820,16,0x40010207c21
0x1080008020042D,2476,23,0x4470020c200 => 0x4c100982800,13,0x55600200201,17,0x41680220082 => 0x50010426402,10,0x40680228401
0x238A00000C60,4942,50,0x210a00140063 => 0x788000860c0,26,0x5e00049802,39,0x210a00140063 => 0x5d800120084,20,0xf9000600280
0x10078080200C01,1224,33,0x1a0c80400083 => 0x48900243011,18,0x48e002c0201,27,0x1a0c80400884 => 0x60012048291,15,0x48e002c0201
0x10039E80000421,4890,32,0x195200944104 => 0x22920008422d,18,0x59e00200621,25,0x315a00840206 => 0x211a001005b1,14,0x3248008c9204
0x39600000060,4798,41,0x4110200030c => 0x44110001062,22,0x1600126100,28,0x44910001060 => 0x550000800c2,15,0x1600126100
0x28000000C14,206,15,0x68000004084 => 0xa00044801,9,0x48000044201,13,0x68000004084 => 0x48000001610,7,0x68000000203
0x41180200421,4750,40,0x4d000088042 => 0x530000c101,21,0x5400009842,27,0x1d00003220 => 0x45080021102,15,0x1ce00080008
0x21080380001842,2384,50,0x5c800320084 => 0x1a0010982090,28,0x58800200863,39,0x1a0010982090 => 0x5c800320084,22,0x58800200863
0x108400843F8421,4576,31,0x8a3c84421182 => 0x89b044207441,17,0x31fe01800818,23,0x307f01840114 => 0x3224130c90c2,14,0x3000043ff021
0x20080180400846,4562,43,0x44180401602 => 0x788000820c0,23,0x4900032c001,30,0x320800840061 => 0x788000820c0,17,0xd200124088
0x108400842F8423,4507,53,0x20128b400bc3 => 0x887284507102,29,0x20920b5c005a,41,0x317601900443 => 0x20128b4008de,22,0x3200043bf021
0x20080100440862,2235,41,0x218a00180022 => 0x45180001602,21,0x448003e0001,33,0x190010902090 => 0x218a00180022,17,0x5b80000414
0x100C008000043D,4460,38,0x1a0000020c2d => 0x50c802041820,22,0x6ce00200210,30,0x1a0000020c2d => 0x50c802041820,17,0xe9000000b42
0x10840085AE0421,4444,32,0x880ef4400830 => 0x20f501181888,18,0x32248380042d,22,0x301368c4020c => 0x217401040b46,13,0x23f6010005a0
0x10800086200C2D,4428,37,0x76600308110 => 0x4b702200103,21,0x2000028db214,28,0x19ac40448008 => 0x63082126110,16,0x30010043ec02
0x1004008000043D,4389,26,0x48900188810 => 0x60600260804,14,0x69600200201,18,0x188040000b41 => 0x1a0c00440022,11,0x400801e4404
0x10040180200C01,1083,28,0x49840008210 => 0x49042040204,15,0x680007600,21,0x40980006404 => 0x49840008210,11,0xda00048002
0x13920080041C,4303,31,0x41800343111 => 0x5080402008da,17,0x7c00000043d,23,0x329a00880082 => 0x6100044083d,13,0x6ce00200421
0x21089100000863,4238,59,0x4d80030c440 => 0xd80030c441,30,0xf9000600818,46,0x88c200501460 => 0xcd00010b440,23,0xf9000600818
0x3DA00000C60,4201,83,0x32c800062820 => 0x1ac000880063,42,0xcd00060041c,65,0x65880100198 => 0x1ac000880063,33,0xcd000600621
0x3760010002D,1043,34,0xf50004402d => 0x72805015a0,19,0xc708040005e,26,0xd304020022d => 0xc70801025a0,14,0x17e00001b40
0x20080380401802,1048,33,0x6c800820084 => 0x4d800020c02,17,0x5a00049810,25,0x6c800820084 => 0x78000700404,13,0x6d000049200
0x800084238C21,2078,27,0x200ac101e008 => 0x20f4010c1040,16,0x20008301bc08,20,0x203cc1000103 => 0x200378400c08,12,0x200088438c42
0x39A00000060,4125,37,0x4090080030c => 0x5c0000800c2,21,0x44000320181,28,0x5c0000800c2 => 0x4090080030c,15,0x1e00000461
0x10019080200421,4112,26,0x18002830c1 => 0x51040120222,15,0x406c0200221,19,0x51040120222 => 0x18002830c1,11,0x40f00220820
0x20080180400806,1024,30,0x1a0012800402 => 0x40850800890,17,0x58800280201,24,0x40850800890 => 0x1a0012800402,13,0x700002c0011
0x1003DA80000403,2047,56,0x20a00028007b1 => 0x198040166204,31,0x329a00900421,46,0x680029005b1 => 0x8c8002125418,25,0x18cc00d40006
0x10038E80000401,1016,24,0x188c00481202 => 0x50800303091,12,0x1800801c6404,18,0x189240800881 => 0x180c00481282,10,0x60e002c0011
0x30000080800423,1347,65,0xe10005808 => 0x4400008029c,33,0x8c00048310,38,0x5c000040310 => 0xe10005808,19,0x9c00044300
0x10008280003D,3992,27,0x410800205a2 => 0x500408000da,15,0x56000005a1,20,0x5280004b40 => 0x500408000da,11,0x540002005a1
0x1003DE80000403,1980,74,0x1acc00cc0204 => 0x78602248811,38,0x4de003c0011,59,0x1a9202882094 => 0x6de00280290,30,0x7de00300011
0x10040180200401,1001,23,0x200a00140108 => 0x60012800402,13,0x49040009200,19,0x60012800402 => 0x44010120402,10,0x680006600
0x10840085BE0421,3914,34,0xc13406065830 => 0x71245100185a,18,0x300085be4421,24,0x8b7004204bc0 => 0x71245100185a,13,0x33ec0180002d
0x1003FE80000421,3899,32,0x32d201884221 => 0x57800343111,18,0x7fe00200301,24,0x18e10040f442 => 0x19e000d09444,14,0x7f000207421
